Error: 06/06/2016 [12:04:10] - //proc/1108/fdinfo: Permission denied
Error: 06/06/2016 [12:04:10] - //proc/1108/map_files: Permission denied
Error: 06/06/2016 [12:04:10] - //proc/1108/ns: Permission denied
Error: 06/06/2016 [12:04:10] - //proc/1108/task/1108/fd: Permission denied
Error: 06/06/2016 [12:04:10] - //proc/1108/task/1108/fdinfo: Permission denied
Error: 06/06/2016 [12:04:10] - //proc/1108/task/1108/ns: Permission denied
Error: 06/06/2016 [12:04:10] - //proc/1108/task/1109/fd: Permission denied
Error: 06/06/2016 [12:04:10] - //proc/1108/task/1109/fdinfo: Permission denied
Error: 06/06/2016 [12:04:10] - //proc/1108/task/1109/ns: Permission denied
Error: 06/06/2016 [12:04:10] - //proc/1108/task/1110/fd: Permission denied
Error: 06/06/2016 [12:04:10] - //proc/1108/task/1110/fdinfo: Permission denied
Error: 06/06/2016 [12:04:10] - //proc/1108/task/1110/ns: Permission denied
Error: 06/06/2016 [12:04:10] - //proc/1133/fd: Permission denied
Error: 06/06/2016 [12:04:10] - //proc/1133/fdinfo: Permission denied
Error: 06/06/2016 [12:04:10] - //proc/1133/map_files: Permission denied
Error: 06/06/2016 [12:04:10] - //proc/1133/ns: Permission denied
Error: 06/06/2016 [12:04:10] - //proc/1133/task/1133/fd: Permission denied
Error: 06/06/2016 [12:04:10] - //proc/1133/task/1133/fdinfo: Permission denied
Error: 06/06/2016 [12:04:10] - //proc/1133/task/1133/ns: Permission denied
Error: 06/06/2016 [12:04:10] - //proc/1133/task/1134/fd: Permission denied
Error: 06/06/2016 [12:04:10] - //proc/1133/task/1134/fdinfo: Permission denied
Error: 06/06/2016 [12:04:10] - //proc/1133/task/1134/ns: Permission denied
Error: 06/06/2016 [12:04:10] - //proc/1133/task/1135/fd: Permission denied
Error: 06/06/2016 [12:04:10] - //proc/1133/task/1135/fdinfo: Permission denied
Error: 06/06/2016 [12:04:10] - //proc/1133/task/1135/ns: Permission denied
Error: 06/06/2016 [12:04:10] - //proc/114/fd: Permission denied
Error: 06/06/2016 [12:04:10] - //proc/114/fdinfo: Permission denied
Error: 06/06/2016 [12:04:10] - //proc/114/map_files: Permission denied
Error: 06/06/2016 [12:04:10] - //proc/114/ns: Permission denied
Error: 06/06/2016 [12:04:10] - //proc/114/task/114/fd: Permission denied
Error: 06/06/2016 [12:04:10] - //proc/114/task/114/fdinfo: Permission denied
Error: 06/06/2016 [12:04:10] - //proc/114/task/114/ns: Permission denied
Error: 06/06/2016 [12:04:10] - //proc/115/fd: Permission denied
Error: 06/06/2016 [12:04:10] - //proc/115/fdinfo: Permission denied
Error: 06/06/2016 [12:04:10] - //proc/115/map_files: Permission denied
Error: 06/06/2016 [12:04:10] - //proc/115/ns: Permission denied
Error: 06/06/2016 [12:04:10] - //proc/115/task/115/fd: Permission denied
Error: 06/06/2016 [12:04:10] - //proc/115/task/115/fdinfo: Permission denied
Error: 06/06/2016 [12:04:10] - //proc/115/task/115/ns: Permission denied
Error: 06/06/2016 [12:04:10] - //proc/1183/fd: Permission denied
Error: 06/06/2016 [12:04:10] - //proc/1183/fdinfo: Permission denied
Error: 06/06/2016 [12:04:10] - //proc/1183/map_files: Permission denied
